,CAPÍTULO I  FILIPA GUIMARÃES,SENTIMENTO GLOBAL,SENTIMENTO POSITIVO,TERMOS/EXPRESSÕES  POSITIVOS,SENTIMENTO NEGATIVO,TERMOS/EXPRESSÕES  NEGATIVOS
1147,"Ouço-o com boa vontade, porque sei que quer o meu bem; mas hei de fazer o que a honra e o coração me aconselharem.",Positivo,1,"""quer o meu bem""",0,
1148,"Ao anoitecer, Simão, como estava sozinho, escreveu uma longa carta, da qual extraímos os seguintes pontos: Considero-te perdida, Teresa.",Negativo,0,,1,"""Considero-te perdida"""
1149,O sol de amanhã pode ser que eu o não veja.,Negativo,0,,1,"""O sol de amanhã pode ser que eu o não veja"""
1150,"Tudo, à minha volta, tem uma cor de morte.",Negativo,0,,1,"""cor de morte"""
1151,Parece que o frio da minha sepultura está-me a passar para o sangue e para os ossos.,Negativo,0,,1,"""frio da minha sepultura"""
1152,Não posso ser o que tu querias que eu fosse.,Neutro,0,,0,
1153,A minha paixão não se conforma com a desgraça.,Neutro,0,,0,
1154,Eras a minha vida: tinha a certeza de que as contrariedades me não privavam de ti.,Neutro,0,,0,
1155,Só o receio de te perder me mata.,Negativo,0,,1,"""me mata"""
1156,O que me resta do passado é a coragem de ir buscar uma morte digna de mim e de ti.,Negativo,0,,1,"""morte digna de mim e de ti"""
1157,"Se tens força para uma agonia lenta, eu não posso com ela.",Negativo,0,,1,"""agonia lenta"""
1158,Poderia viver com a paixão infeliz; mas este rancor sem vingança é um inferno.,Negativo,0,,1,"""rancor""; ""inferno"""
1159,Mo entanto não hei de dar barata a vida.,Neutro,0,,0,
1160,"Ficarás sem mim, Teresa; mas não haverá nenhum infame que te persiga depois da minha morte.",Negativo,0,,0,"""Ficarás sem mim""; ""morte"""
1161,Tenho ciúmes de todas as tuas horas.,Negativo,0,,1,"""tenho ciúmes"""
1162,"Hás de pensar com muita saudade no teu esposo do Céu, e nunca tirarás de mim os olhos da tua alma para veres ao pé de ti o miserável que nos matou a realidade de tantas esperanças formosas.",Negativo,0,,1,"""saudade""; ""miserável""; ""matou"""
1163,"Verás esta carta quando eu estiver num outro mundo, esperando as orações das tuas lágrimas.",Negativo,0,,1,"""lágrimas"""
1164,As orações!,Neutro,0,,0,
1165,Admiro-me desta faísca de fé que me ilumina nas minhas trevas!,Positivo,1,"""faísca de fé que ilumina""",1,"""minhas trevas"""
1166,"Deste-me o amor, Teresa.",Positivo,1,"""deste-me amor""",0,
1167,Ainda creio; que não se apaga a luz que é tua; mas a providência divina desamparou-me.,Negativo,1,"""não se apaga a luz""",1,"""providência divina desamparou-me"""
1168,Lembra-te de mim.,Neutro,0,,0,
1169,"Vive, para explicares ao mundo, com a tua lealdade para uma sombra, a razão porque me atraíram para um abismo.",Negativo,1,"""lealdade""",1,"""me atraíram para um abismo"""
1170,"Escutarás com glória a voz do mundo, dizendo que eras digna de mim.",Positivo,1,"""glória""; ""digna""",0,
1171,À hora em que leres esta carta….,Neutro,0,,0,
1172,"Não o deixaram continuar as lágrimas, nem depois a presença de Mariana.",Negativo,0,,1,"""lágrimas"""
1173,"Vinha ela pôr a mesa para a ceia, e quando desdobrava a toalha, disse em voz abafada, como se a si mesma somente o dissesse: — É a última vez que ponho a mesa ao senhor Simão na minha casa! — Porque diz isso, Mariana? — Porque mo diz o coração.",Negativo,0,,1,"""última vez que ponho a mesa ao senhor"""
1174,"Desta vez, o académico ponderou supersticiosamente os ditames do coração da rapariga, e com o silêncio meditativo deu-lhe a ela a evidência antecipada do vaticínio.",Neutro,0,,0,
1175,"Quando voltou com a travessa da galinha, a filha de João da Cruz vinha a chorar. — Chora com pena de mim, Mariana? — disse Simão enternecido. — Choro, porque me parece que o não tornarei a ver; ou, se o vir, será de um modo que oxalá que eu morresse antes de o ver. — Não será, talvez, assim, minha amiga. — Vossa senhoria não me faz uma coisa que eu lhe peço? — Veremos o que pede, menina. — Não saia esta noite, nem amanhã. — Pede o impossível, Mariana.",Negativo,0,,1,"""vinha a chorar""; ""parece que o não tornarei a ver""; ""oxalá que eu morresse"""
1176,"Hei de sair, porque morreria se não saísse. — Então perdoe a minha ousadia.",Negativo,0,,1,"""morreria"""
1177,Deus o tenha da sua mão.,Neutro,0,,0,
1178,A rapariga foi contar ao pai as intenções do académico.,Neutro,0,,0,
1179,"Acudiu logo o mestre João combatendo a ideia da saída, alertando-o para os perigos do ferimento.",Negativo,0,,1,"""perigos do ferimento"""
1180,"Depois, como não conseguiu dissuadi-lo, resolveu acompanhá-lo.",Neutro,0,,0,
1181,"Simão agradeceu a companhia, mas rejeitou-a com firmeza.",Neutro,0,,0,
1182,"O ferrador não cedeu do propósito, e estava já a preparar a clavina, e a selar com medida dobrada a égua — para o que desse e viesse — dizia ele, quando o estudante disse-lhe que, pensando melhor, resolvera não ir a Viseu, e seguir Teresa ao Porto, depois de mais uns dias de convalescença.",Neutro,0,,0,
1183,"Facilmente o acreditou João da Cruz; mas Mariana, submissa sempre ao que o seu coração lhe murmurava, duvidou da mudança, e disse ao pai que vigiasse o fidalgo.",Neutro,0,,0,
1184,"Às onze horas da noite, ergueu-se o académico e escutou o movimento interior da casa: não ouviu o mais ligeiro ruído, a não ser o rangido da égua na manjedoura.",Neutro,0,,0,
1185,Encheu de pólvora nova as duas pistolas.,Neutro,0,,0,
1186,"Escreveu um bilhete sobrescrito a João da Cruz, e juntou-o à carta que escrevera a Teresa.",Neutro,0,,0,
1187,"Abriu as portadas da janela do seu quarto, e passou dali para a varanda, da qual o salto para a estrada era difícil.",Neutro,0,,0,
1188,"Saltou, e tinha dado alguns passos, quando a fresta lateral à porta da varanda se abriu, e a voz de Mariana lhe disse: — Então adeus, senhor Simão.",Neutro,0,,0,
1189,Eu fico a pedir a nossa Senhora que vá na sua companhia.,Neutro,0,,0,
1190,"O académico parou, e ouviu a voz íntima que lhe dizia: — O teu anjo da guarda fala pela boca daquela mulher, que não tem mais inteligência que a do coração, iluminada pelo seu amor. — Dê um abraço ao seu pai por mim, Mariana — disse-lhe Simão — e adeus. até logo, ou… — Até ao Juízo Final. — atalhou ela. — O destino há de se cumprir.",Negativo,1,"""anjo da guarda ""; ""iluminada pelo seu amor""; ""abraço""",1,"""Até ao Juízo Final"""
1191,Seja o que o Céu quiser.,Neutro,0,,0,
1192,"Tinha Simão desaparecido nas trevas, quando Mariana acendeu a lâmpada do santuário, e ajoelhou a orar com o fervor das lágrimas.",Negativo,0,,1,"""desaparecido nas trevas""; ""lágrimas"""
1193,"Era uma hora, e estava Simão defronte do convento, contemplando uma a uma, as janelas.",Neutro,0,,0,
1194,"Em nenhuma vira o clarão de luz; luz, só a do lampadário do Sacramento se coava baça e pálida na vidraça de uma fresta do templo.",Neutro,0,,0,
1195,"Sentou-se nas escaleiras da igreja, e ouviu, ali, imóvel, as quatro horas.",Neutro,0,,0,
1196,"Das mil avisões que lhe vieram o atribulado espírito, a que mais nitidamente se repetia era a de Mariana suplicante, com as mãos postas sobre o peito; mas, ao mesmo tempo, cria ele ouvir os suplícios de Teresa, torturada pela saudade, pedindo ao Céu que a salvasse das mãos dos seus carrascos.",Negativo,0,,1,"""suplícios""; ""torturada""; ""carrascos"""
1197,"O vulto de Tadeu de Albuquerque, arrastando a filha para um convento, não lhe aumentava a sede da vingança; mas cada vez que lhe vinha à mente a imagem odiosa de Baltasar Coutinho, instintivamente as mãos do académico certificavam-se da posse das pistolas.",Negativo,0,,1,"""sede da vingança""; ""odiosa"""
1198,"Às quatro horas e um quarto, acordou a natureza toda em hinos e aclamações com radiar da alvorada.",Neutro,0,,0,
1199,Os passarinhos trinavam na cerca do mosteiro melodias interrompidas pelo toque solene das ave-marias na torre.,Neutro,0,,0,
1200,O horizonte passou de escarlate a alvacento.,Neutro,0,,0,
1201,"A púrpura da aurora, como labaredas enormes, desfizera-se em partículas de luz, que ondeavam no declive das montanhas, e estendiam-se nas planícies e nas várzeas, como se o anjo do Senhor, à voz de Deus, viesse desenrolando aos olhos da criatura as maravilhas do despertar de um novo dia.",Neutro,0,,0,
1202,E nenhuma destas galas do Céu e da Terra atraiu os olhos do rapaz poeta!,Neutro,0,,0,
1203,"Às quatro horas e meia, ouviu Simão o tinido de liteiras, dirigindo-se àquele lugar.",Neutro,0,,0,
1204,"Mudou de local, seguindo por uma rua estreita, fronteira ao convento.",Neutro,0,,0,
1205,"Pararam as liteiras vazias na portaria, e logo depois chegaram três senhoras vestidas para uma jornada, que deviam ser as irmãs de Baltasar, acompanhadas por dois criados com as mulas à rédea.",Neutro,0,,0,
1206,"As damas foram sentar-se nos bancos de pedra, laterais à portaria.",Neutro,0,,0,
1207,"Em seguida abriu-se a grossa porta, rangendo nos gonzos, e as três senhoras entraram.",Neutro,0,,0,
1208,"Momentos depois, viu chegar à portaria Tadeu de Albuquerque, na companhia de Baltasar Coutinho.",Neutro,0,,0,
1209,O velho mostrava sinais de fraqueza e desfalecimento.,Negativo,0,,1,"""fraqueza e desfalecimento"""
1210,"O de Castro D aire, bem composto de figura e caprichosamente vestido à castelhana, gesticulava com aprumo de quem dá as suas irrefutáveis razões, e consola tomando a riso a dor alheia. — Nada de lamúrias, meu tio! — dizia ele. — Desgraça seria vê-la casada!",Negativo,0,,1,"""tomando a riso a dor alheia""; ""lamúrias"""
1211,"Eu prometo-lhe, antes de um ano passar, restituir-lha curada.",Positivo,1,"""curada""",0,
1212,Um ano de convento é um ótimo remédio para o coração.,Positivo,1,"""ótimo remédio""",0,
1213,Não há nada como isso para limpar o sarro do vício em corações de meninas criadas à discrição.,Positivo,1,""" limpar o sarro do vício """,,
1214,"Se o meu tio a obrigasse, desde menina, a uma obediência cega, tê-la-ia agora submissa, e ela não se julgaria autorizada a escolher marido. — Era uma filha única, Baltasar! — dizia o velho, a soluçar. — Pois, por isso mesmo — respondeu o sobrinho. — Se tivesse outra, ser-lhe-ia menos sensível a perda, e menos funesta a desobediência.",Negativo,1,"""obediência""; ""submissa""",1,"""a perda""; ""desobediência"""
1215,"Passaria o seu nome e a sua casa para a filha mais querida, embora tivesse de impetrar uma licença régia para deserdar a primogénita.",Neutro,0,,0,
1216,"Assim, agora, não lhe vejo outro remédio senão levar o ferro em brasa à chaga; com emplastros é que não se faz nada.",Neutro,0,,0,
1217,"Abriu-se novamente a portaria, e saíram as três senhoras, e atrás delas Teresa.",Neutro,0,,0,
1218,"Tadeu enxugou as lágrimas e deu alguns passos a saudar a filha, que não ergueu do chão os olhos. — Teresa. — disse o velho. — Aqui estou, senhor — respondeu a filha, sem o encarar. — Ainda é tempo — disse Albuquerque. — Tempo de quê? — Tempo de seres boa filha. — Não me acusa a consciência de o não ser. — Ainda mais?",Negativo,0,,1,"""lágrimas""; ""Tempo de seres boa filha"""
1219,"Queres ir para tua casa, e esquecer o maldito que nos fez a todos desgraçados? — Não, meu pai.",Negativo,0,,1,"""maldito""; ""desgraçados"""
1220,O meu destino é o convento.,Neutro,0,,0,
1221,Esquecê-lo nem na morte.,Neutro,0,,0,
1222,"Serei uma filha desobediente, mas mentirosa é que nunca.",Neutro,0,,0,
1223,"Teresa, circunvagando os olhos, viu Baltasar, e estremeceu, exclamando: — Nem aqui! — Fala comigo, prima Teresa? — disse Baltasar, risonho. — Consigo falo!",Neutro,1,,0,
1224,Nem aqui me deixa a sua odiosa presença? — Sou um dos criados que a minha prima leva na sua companhia.,Negativo,0,,1,"""odiosa presença"""
1225,"Dois tinha eu há dias, dignos de acompanharem a minha prima; mas houve aí um assassino que mos matou.",Negativo,0,,1,"""assassino que mos matou"""
1226,"À falta deles, sou eu que me ofereço. — Dispenso-o da delicadeza — atalhou Teresa com veemência. — Eu é que não me dispenso da servir, à falta dos meus dois fiéis criados, que um louco me matou. — Assim devia ser — disse ela também irónica —, porque os covardes escondem-se nas costas dos criados que se deixam matar. — Ainda não fizeram as contas finais.",Negativo,0,,1,"""um louco me matou""; "
1227,Minha querida prima — redarguiu o morgado.,Neutro,0,,0,
1228,"Este diálogo correu rapidamente, enquanto Tadeu de Albuquerque cortejava a prioresa e as outras religiosas.",Neutro,0,,0,
1229,"As quatro senhoras, seguidas de Baltasar, tinham saído do átrio do convento, e deram com Simão Botelho, encostado à esquina da rua fronteira.",Neutro,0,,0,
1230,"Teresa viu-o Avistou-o primeiro que todas, e exclamou. — Simão!",Neutro,0,,0,
1231,O filho do corregedor não se moveu.,Neutro,0,,0,
1232,"Baltasar, espavorido do encontro, fitando os olhos nele, duvidava ainda. — É incrível que este infame aqui viesse! — exclamou o de Castro D aire.",Neutro,0,,0,
1233,"Simão deu alguns passos, e disse placidamente: — Infame, eu! e porquê? — Infame, e infame assassino! — respondeu Baltasar. — Desaparece da minha vista! — É parvo este homem! — disse o académico. — Eu não discuto com sua senhoria.",Negativo,0,,1,""" infame assassino"""
1234,"Minha senhora — disse ele a Teresa com a voz comovida e o rosto alterado unicamente pelos afetos do coração, — sofra com resignação, da qual eu lhe estou a dar um exemplo.",Negativo,0,,1,"""sofra com resignação"""
1235,"Leve a sua cruz, sem amaldiçoar a violência, e bem pode ser que a meio do seu calvário a misericórdia divina lhe redobre as forças. — Que diz este patife? — exclamou Tadeu. — Vem aqui insultá-lo, meu tio! — respondeu Baltasar. — Tem a petulância de se apresentar à sua filha a confortá-la na sua malvadez!",Negativo,0,,1,"""petulância""; ""malvadez""; "
1236,Isto é de mais!,Neutro,,,0,
1237,"Olhe que eu esmago-te aqui, vilão! — Vilão é o desgraçado que me ameaça, sem ousar avançar para mim um passo — redarguiu o filho do corregedor. — Eu não o faço — exclamou, enfurecido Baltasar — por entender que me rebaixo, castigando-o na presença de criados do meu tio, que tu podes supor serem os meus defensores, canalha! — Se assim é — disse Simão, sorrindo —, espero nunca me encontrar de novo com sua senhoria.",Negativo,0,,1,"""esmago-te aqui, vilão""; ""enfurecido"""
1238,"Reputo-o tão covarde, tão sem dignidade, que o hei de mandar esmurrar pelo primeiro mariola das esquinas.",Negativo,0,,1,"""covarde""; ""sem dignidade"""
1239,Baltasar Coutinho lançou-se de ímpeto a Simão.,Negativo,0,,1,"""lançou-se de ímpeto a Simão"""
1240,Chegou a apertar-lhe a garganta com as mãos; mas depressa perdeu o vigor dos dedos.,Negativo,0,,1,"""apertar-lhe a garganta"""
1241,"Quando as damas chegaram para se interpor entre os dois, Baltasar já tinha o alto do crânio aberto por uma bala, que lhe entrara na fronte.",Negativo,0,,1,"""crânio aberto por uma bala"""
1242,"Vacilou um segundo, e caiu desamparado aos pés de Teresa.",Negativo,0,,1,"""caiu desamparado"""
1243,Tadeu de Albuquerque gritou a altos brados.,Neutro,0,,0,
1244,"Os liteireiros e os criados rodearam Simão, que conservou o dedo no gatilho da outra pistola.",Neutro,0,,0,
1245,"Animados uns pelos outros e pelos gritos do velho, iam lançar-se ao homicida, com risco de vida, quando um homem, com um lenço pela cara, correu da rua fronteira, e colocou-se de bacamarte aperrado, à beira de Simão.",Negativo,0,,1,"""homicida"""
1246,"Pararam os homens. — Fuja, que a égua está no fim da rua — disse o ferrador ao seu hóspede. — Não fujo.",Neutro,0,,0,
1247,"Salve-se, e depressa — respondeu Simão. — Fuja, que se junta o povo e não tardam aí soldados. — Já disse-lhe que não fujo — respondeu o amante de Teresa, com os olhos postos nela, que caíra desfalecida sobre as escadas da igreja. — Está perdido! — disse João da Cruz. — Já o estava.",Negativo,0,,1,"""caíra desfalecida"""
1248,"Vá-se embora, meu amigo, pela sua filha lho rogo.",Neutro,0,,0,
1249,Olhe que pode ser-me útil; fuja.,Neutro,0,,0,
1250,"Abriram-se todas as portas e janelas, quando o ferrador se lançou na fuga até cavalgar a égua.",Neutro,0,,0,
1251,"Um dos vizinhos do mosteiro, que, em razão do seu ofício, saiu primeiro à rua, era o meirinho-geral. — Prendam-no, prendam-no, que é um assassino — exclamava Tadeu de Albuquerque. — Quem? — perguntou o meirinho-geral. — Eu — respondeu o filho do corregedor. — Vossa senhoria! — disse o meirinho espantado; e aproximando-se, acrescentou a meia-voz: — Venha, que eu deixo-o fugir. — Eu não fujo — disse Simão. — Estou preso.",Negativo,0,,1,"""assassino"""
1252,Aqui tem as minhas armas.,Neutro,0,,0,
1253,E entregou as armas.,Neutro,0,,0,
1254,"Tadeu de Albuquerque, quando se recobrou do espasmo, fez transportar a filha para uma das liteiras, e ordenou a dois criados que a acompanhassem ao Porto.",Neutro,0,,0,
1255,As irmãs de Baltasar seguiram o cadáver do seu irmão para casa do tio.,Negativo,0,,1,"""cadáver"""
1256,CAPÍTULO XI   ANA FILIPA SANTANA ,,,,,
1257,"O corregedor acordara com o grande rebuliço que ia na sua casa, e perguntou à esposa, que ele supunha estar também acordada na câmara do lado, que bulha era aquela.",negativo,n/a,n/a,presente,"""grande rebuliço"" ""bulha"""
1258,"Como ninguém lhe respondeu, sacudiu freneticamente a campainha, e berrou ao mesmo tempo, aterrado pela hipótese de incêndio na casa.",negativo,n/a,n/a,presente,"""sacudiu freneticamente"""
1259,"Quando D Rita acudiu, já ele estava a enfiar os calções às avessas. — Que estrondo é este?",neutro,n/a,n/a,n/a,n/a
1260,Quem é que grita? — exclamou Domingos Botelho. — Quem grita mais é o senhor — respondeu D Rita. — Sou eu?,neutro,n/a,n/a,n/a,n/a
1261,Mas quem é que chora? — São as suas filhas. — E porquê?,neutro,n/a,n/a,n/a,n/a
1262,"Diga numa palavra. — Pois sim, direi: o Simão matou um homem. — Em Coimbra?",negativo,n/a,n/a,n/a,"""matou um homem"""
1263,"E fazem tanta bulha por isso! — Não foi em Coimbra, foi em Viseu — disse D Rita. — A senhora está a gozar comigo?",negativo,n/a,n/a,presente,"""bulha"" ""A senhora está a gozar comigo"""
1264,"Pois se o rapaz está em Coimbra, como pode ter matado alguém em Viseu!",neutro,n/a,n/a,n/a,n/a
1265,"Aí está um caso que as Ordenações do Reino não providenciaram. — Parece que brinca, Meneses!",negativo,n/a,n/a,presente,"""Parece que brinca"""
1266,"O seu filho matou na madrugada de hoje Baltasar Coutinho, sobrinho de Tadeu de Albuquerque.",neutro,n/a,n/a,n/a,n/a
1267,Domingos Botelho mudou inteiramente de aspeto. — Foi preso? — perguntou o corregedor. — Está em casa do juiz de fora. — Mande-me chamar o meirinho-geral.,neutro,n/a,n/a,n/a,n/a
1268,Sabe como foi e qual a razão dessa morte?,neutro,n/a,n/a,n/a,n/a
1269,"Mande-me chamar o meirinho, sem demora. — Porque não se veste o senhor, e vai a casa do juiz? — Que vou eu fazer a casa do juiz? — Saber da boca do seu filho como tudo se passou. — Eu não sou pai: sou corregedor.",neutro,n/a,n/a,n/a,n/a
1270,Não me incumbe a mim interrogá-lo.,neutro,n/a,n/a,n/a,n/a
1271,"Senhora D Rita, eu não quero ouvir choradeiras; diga às meninas que se calem, ou que vão chorar para o jardim.",negativo,n/a,n/a,presente,"""não quero ouvir choradeiras"""
1272,"O meirinho, chamado, relatou miudamente o que sabia, e disse ter-se verificado que o amor à filha do Albuquerque fora causa daquele desastre.",negativo,n/a,n/a,presente,"""ter-se verificado que o amor à filha do Albuquerque fora causa daquele desastre."""
1273,"Domingos Botelho, ouvida a história, disse ao meirinho: — O juiz de fora que cumpra as leis.",neutro,n/a,n/a,n/a,n/a
1274,"Se ele não for rigoroso, eu o obrigarei a sê-lo.",negativo,,,,
1275,"Ausente o meirinho, disse D Rita Preciosa ao marido: — Que significa esse modo de falar do seu filho? — Significa que sou corregedor desta comarca, e que não protejo assassinos por ciúmes, e ciúmes da filha de um homem que eu desprezo.",negativo,,,,
1276,"Eu antes queria ver mil vezes morto Simão, que o ter ligado a essa família.",negativo,,,,
1277,"Escrevi-lhe muitas vezes dizendo-lhe que o expulsava da minha casa, se alguém me desse a certeza de que ele tinha correspondência com tal mulher.",,,,,
1278,"Não há de querer a senhora que eu vá sacrificar a minha integridade para com um filho rebelde, e ainda por cima um homicida.",,,,,
1279,"D Rita, um tanto por afeto maternal e bastante por espírito de contradição, tentou refutar tais palavras; mas desistiu, obrigada pela insólita pertinácia e cólera do marido.",,,,,
1280,Tão enraivecido e áspero em palavras nunca o ela vira antes.,negativo,n/a,n/a,presente,"""enraivecido"" ""áspero"""
1281,"Quando lhe ele disse: — Senhora, em coisas de pouca importância o seu conselho era tolerável; em questões de honra, o seu conselho não serve de nada: deixe-me! — D Rita, quando isso ouviu, e reparou na fisionomia de Domingos Botelho, sentiu-se mulher, e retirou-se.",,,,,
1282,Com isto entrou o juiz de fora que estava na sala de espera.,,,,,
1283,"O corregedor foi recebê-lo, não com o rosto afetuoso de quem vai agradecer a delicadeza e implorar indulgência, em vez disso ia carrancudo e mais parecia ir ele repreender o juiz, por com aquela visita dar a crer que a balança da justiça na sua mão tremia algumas vezes. — Começo por dar a vossa senhoria os meus pêsames pela desgraça do seu filho — disse o juiz de fora. — Obrigado vossa senhoria.",,,,,
1284,Sei tudo.,,,,,
1285,"Está instaurado o processo? — Não podia deixar eu de aceitar a querela. — Se a não aceitasse, obrigá-lo-ia eu ao cumprimento dos seus deveres. — A situação do senhor Simão Botelho é péssima.",,,,,
1286,Confessa tudo.,,,,,
1287,"Diz que matou o carrasco da mulher que ele amava. — Fez muito bem — interrompeu o corregedor, soltando uma tosse seca e rouca. — Perguntei-lhe se foi em legitima defesa, e fiz-lhe sinal para que respondesse afirmativamente.",,,,,
1288,"Mas ele respondeu que não; que, fosse para se defender tinha-o feito com a ponta da bota, e não com um tiro.",,,,,
1289,"Procurei todos os modos honestos de o levar a dar algumas respostas que denotassem alucinação ou demência; ele, porém, responde com tanta igualdade e presença de espírito, que é impossível supor que o assassínio não foi perpetrado muito intencionalmente e de claro juízo.",,,,,
1290,Aqui tem vossa senhoria uma especialíssima e triste posição.,,,,,
1291,"Queria valer-lhe, e não posso. — E eu não posso nem quero, senhor doutor juiz de fora.",,,,,
1292,Está na cadeia? — Ainda não: está na minha casa.,,,,,
1293,Venho saber se vossa senhoria determina que lhe seja preparada com decência a prisão. — Eu não determino nada.,,,,,
1294,"Faça de conta que o preso Simão não tem aqui parente algum. — Mas, senhor doutor corregedor — disse o juiz de fora com tristeza e compunção -, vossa senhoria é o pai. — Sou um magistrado. — É demasiada a severidade, perdoe-me a reflexão, que é amiga.",,,,,
1295,A lei já existe para o castigar; não o castigue também vossa senhoria com o seu ódio.,,,,,
1296,"A desgraça quebra o rancor de estranhos, quanto mais afetuoso for o ressentimento de um pai! — Eu não o odeio, senhor doutor; desconheço é esse homem de que me fala.",,,,,
1297,"Cumpra os seus deveres, que lho ordena o corregedor, e o amigo mais tarde lhe agradecerá a delicadeza.",,,,,
1298,"Saiu o juiz de fora, e foi encontrar Simão na mesma serenidade em que o deixara. — Venho de uma conversa com o seu pai — disse o juiz -, encontrei-o mais irado do que era natural calcular.",,,,,
1299,"Penso que por enquanto nada pode esperar da influência ou do patrocínio dele. — E isso que me importa? — respondeu sossegadamente Simão. — Importa muito, senhor Botelho.",,,,,
1300,"Se o seu pai quisesse, havia meios de mais tarde lhe adoçar a sentença. — Que me importa a mim a sentença? — respondeu o filho do corregedor. — Pelo que vejo, não lhe importa ao senhor ir para uma forca? — Não, senhor. — Que diz, senhor Simão! — redarguiu espantado o interrogador. — Digo que o meu coração é indiferente ao destino da minha cabeça. — E sabia que o seu pai não lhe vai dar mesmo proteção, a proteção das primeiras necessidades na cadeia? — Não sabia; e que tem isso?",,,,,
1301,"Que importa morrer de fome, ou morrer no patíbulo? — Porque não escreve à sua mãe?",negativo,n/a,n/a,presente,""" morrer de fome"" ""morrer no patíbulo"""
1302,"Peça-lhe que… — Que hei de eu pedir à minha mãe? — atalhou Simão. — Peça-lhe que amacie a cólera do seu pai, senão o senhor Botelho não tem quem o alimente. — Vossa Senhoria pensa que sou desses miseráveis que se preocupam sempre em saber onde hão de encher a barriga.",negativo,presente,"""amacie a cólera do seu pai""",presente,"""não tem quem o alimente."" ""pensa que sou desses miseráveis"""
1303,"Penso que não incumbe ao senhor juiz de fora preocupar-se com os interesses de estômago de um condenado. — Decerto que não — redarguiu, irritado, o juiz. — Faça o que quiser.",negativo,n/a,n/a,presente,"""irritado"" ""Faça o que quiser"""
1304,"E chamando o meirinho-geral, entregou-lhe o réu, dispensando um guarda que o força-se a acompanhá-lo.",neutro,n/a,n/a,n/a,n/a
1305,"O carcereiro recebeu respeitosamente o preso, e alojou-o num dos melhores quartos do cárcere; mas nu e desprovido do mínimo conforto.",positivo,presente,"""recebeu o respeituosamente"" ""alojou o num dos melhores quartos""",presente,"""nu e desprovido"""
1306,Um outro preso emprestou-lhe uma cadeira de pau.,neutro,n/a,n/a,n/a,n/a
1307,"Simão sentou-se, cruzou os braços e meditou.",neutro,n/a,n/a,n/a,n/a
1308,"Pouco depois, um criado do seu pai levou-lhe o almoço, dizendo-lhe que a sua mãe lho mandava às escondidas, e entregando-lhe uma carta dela, cujo conteúdo importa saber.",neutro,n/a,n/a,n/a,n/a
1309,"Simão, antes de tocar no almoço, cujo cabaz estava no pavimento, leu o seguinte: Desgraçado, que estás perdido!",neutro,n/a,n/a,n/a,n/a
1310,"Eu não te posso valer, porque o teu pai está inexorável.",negativo,n/a,n/a,presente,"""inexorável"""
1311,"Às escondidas dele é que te mando o almoço, e não sei se poderei mandar-te o jantar!",negativo,n/a,n/a,presente,"""às escondidas"""
1312,Que destino o teu!,negativo,n/a,n/a,presente,"""Que destino o teu"""
1313,Oxalá que tivesses morrido ao nascer.,negativo,n/a,n/a,presente ,"""Oxalá que tivesses morrido"""
1314,Disseram que tinhas nascido morto; mas o teu fatal destino não quis largar a vítima.,negativo,n/a,n/a,presente,"""nascido morto"""
1315,Para que saíste de Coimbra?,neutro,n/a,n/a,n/a,n/a
1316,"A que vieste, infeliz?",negativo,n/a,n/a,presente,"""infeliz"""
1317,"Agora sei que tens vivido fora de Coimbra há quinze dias, e nunca tiveste uma palavra que dissesses a tua mãe!",neutro,n/a,n/a,n/a,n/a
1318,"Simão suspendeu a leitura, e disse para si mesmo: Como é que se entende isto?",neutro,n/a,n/a,n/a,n/a
1319,Pois a minha mãe não mandou chamar o João da Cruz!,neutro,n/a,n/a,N/a,n/a
1320,"E não foi ela quem me mandou o dinheiro? — Olhe que o almoço arrefece, menino! — disse o criado.",neutro,n/a,n/a,N/a,n/a
1321,"Simão continuou a ler, sem ouvir o criado: Deves estar sem dinheiro, e eu desgraçadamente não te posso hoje enviar nem sequer um pinto.",negativo,n/a,n/a,presente,"""desgraçadamente"""
1322,"O teu irmão Manuel, desde que fugiu para Espanha, absorve-me todas as economias.",neutro,n/a,n/a,n/a,n/a
1323,"Veremos, passado algum tempo, o que posso fazer; mas receio bem que o teu pai saia de Viseu, e nos leve para Vila Real, para abandonar de todo o teu julgamento à severidade das leis.",negativo,n/a,n/a,presente,"""abandonar"" ""receio"""
1324,Meu pobre Simão!,negativo,n/a,n/a,presente,"""pobre"""
1325,Onde estiveste tu escondido durante quinze dias?,neutro,n/a,n/a,n/a,n/a
1326,"Hoje mesmo chegou ao teu pai a carta de um professor, participando-lhe a tua falta nas aulas, e saída para o Porto, segundo dizia o arrieiro que te acompanhou.",neutro,n/a,n/a,n/a,n/a
1327,Não posso ir ver-te.,neutro,n/a,n/a,n/a,n/a
1328,"O teu pai já bateu na Ritinha, por ela querer ir à cadeia.",neutro,n/a,n/a,n/a,n/a
1329,"Conta com o pouco valor da tua pobre mãe ao pé de um homem enfurecido, como está o teu pai.",negativo,n/a,n/a,presente,"""enfurecido"" ""pobre"""
1330,"Simão Botelho refletiu por alguns minutos, e convenceu-se de que o dinheiro recebido era de João da Cruz.",neutro,n/a,n/a,n/a,n/a
