Title,Cited by,DOI,Link,Abstract,AuthorKeyword_1,AuthorKeyword_2,AuthorKeyword_3,AuthorKeyword_4,AuthorKeyword_5,AuthorKeyword_6,AuthorKeyword_7,AuthorKeyword_8,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reconsidering technical labor in information institutions: The case of analog video digitization,4,10.1353/lib.2019.0037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078796143&doi=10.1353%2flib.2019.0037&partnerID=40&md5=57a36ca7312cff87c72bb711f5fa24d4,"Technical labor is still typically made invisible in the functioning of academic libraries and other information institutions even as they begin to disseminate technical and craft knowledge through makerspaces and other sites of library innovation. This paper seeks to recover one type of technical labor, digitization, as information work that embodies mental and manual activities and is both materially and intellectually productive. This paper draws on findings from an empirical study conducted by the author from 2015–2017 that used qualitative-interpretive methods to study the discursive and material practices of professional media preservationists as they worked to digitize analog video recordings in small-scale, high-quality (“artisanal”) digitization projects. One key finding of this research is that in order to produce “legitimate” digital copies within their institutional contexts, media preservationists must coordinate their physical and mental activities to develop understanding of the invisible electrical signals that carry the encoded video information, blending objective and subjective modalities of knowledge. These findings have implications for understanding how the invisible labor of digitization has significant mental as well as manual dimensions, contributing to ongoing debates in information studies and the digital humanities on the relationship between “doing” and “signifying” in terms of knowledge work. © 2019 The Board of Trustees, University of Illinois.",,,,,,,,,Lischer-Katz Z.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publishing revolution: Publishing praxis in the classroom,0,10.5195/rt.2019.654,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078332248&doi=10.5195%2frt.2019.654&partnerID=40&md5=09f0b60cee953c09bae1155672fc43a6,"Drawing on queer and feminist Digital Humanities (DH) and Indigenous, antiracist, and intersectional approaches to publishing, this pedagogy piece reflects on a course designed and taught in Fall 2018 titled ""Intersectional Feminist Journal Praxis."" Students read intersectional readings on publishing while creating their own journal through Open Journal Systems Software (OJS). Employing principles of collaboration and praxis, students worked in teams around specific tasks like a call for papers, peer review, copyediting, and introduction-writing while employing critical publishing practices such as remaining reflexive about, for example, accessibility and power inequalities in processes of knowledge production. Their end product was the publication of the first issue of the journal they themselves created by the name of Intersectional Apocalypse (https://journals.lib.sfu.ca/index.php/ifj). This piece discusses this pedagogical DH experiment, grounding it in histories of anti-oppressive publishing endeavors and in students' own words and reflections on the course. © 2019, University Library System, University of Pittsburgh. All rights reserved.",,,,,,,,,Przybylo E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syncretic modality in slideshows in the era of digital humanities: Towards a reconceptualization of visuals?,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078266291&partnerID=40&md5=865fb6414a0d684fbbf3550c1504d953,"The pervasiveness of slideshows in present-day academic lectures calls for a continuous redefinition and problematization of the nature and functions of modes, as well as of their interaction in a multimodal space such as the slide. Indeed, intense visuality in lectures is linked to a growing need for the ability to decipher the complex semiological landscapes that slides represent. This work is based on the analysis of a corpus of lecture slides drawn from the mIT OpenCourseWare initiative. Through a qualitative approach, it observes the fluidity of the different types of resources, with particular attention paid to visuals. This study offers an analytical framework which represents an embryonic rubric for operationalizing the grammar of visuals. It is based on a fluid and dynamic conception of visuals and focuses on the hybridity of the different semiotic resources, which often cannot be ascribed to specific categories without running into reductionist simplifications. The approach adopted aims to go beyond the investigation of the contribution made by individual modes, and to consider the meaning created dynamically by the interaction of the different resources, in a circular process which goes from the singular to the global and vice versa. Results show that the multiple semiotic resources involved develop syncretically and have a reciprocal transformative function in the meaning-making process. Also, they synergically convey the information desired through their mutual validation. © 2019, AELFE. All rights reserved.",Digital Humanities,Lecture slides,PowerPoint,Slideshow presentations,Social semiotics,Syncretic modality,Visual communication,,Anesa P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICTs as juju: African inspiration for understanding the compositeness of being human through digital technologies,5,10.1386/jams_00001_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077314803&doi=10.1386%2fjams_00001_1&partnerID=40&md5=54abfd9fb1d886e4e0ec7e21d2ea980d,"In this article,1 I liken information and communication technologies (ICTs) or digital technologies to what we in West and Central Africa have the habit of referring to as Juju. I invite as scholars of the digital humanities to see in the region’s belief in incompleteness and the compositeness of being human, as well as in the capacity to be present everywhere at the same time an indication that we have much to learn from the past on how best to understand and harness current purportedly innovative advances in ICTs. The idea of digital technologies making it possible for humans and things to be present even in their absence and absent even in their presence is not that dissimilar to the belief in what is often labelled and dismissed as witchcraft and magic that lends itself to a world of infinite possibilities – a world of presence in simultaneous multiplicities and eternal powers to redefine reality. The article argues in favour of incompleteness as a normal way of being. It challenges students of humanity to envisage a relationship between humans and digital technologies that is founded less on dichotomies and binary oppositions, nor on zero-sum games of conquest and superiority. If humans are present in things and things in humans, thanks to the interconnections, the flexibility and fluidity of being that come with recognition of and provision for incompleteness, it is important to see things and humans not only as intricately entangled, but also as open-ended composites. © 2019 Intellect Ltd Article.",Africa,Compositeness,Digital humanities,Digital technologies,ICTs,Incompleteness,Juju,Spyware,Nyamnjoh F.B.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling southern places: An examination of delta’s sky magazine city profiles.,2,10.1353/sgo.2019.0022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074460225&doi=10.1353%2fsgo.2019.0022&partnerID=40&md5=2ea0b9893313952763396f8477eb7d8c,"Delta’s Sky magazine claims to be an influential outlet for entities trying to promote places to investors and tourists. Claiming nearly 6 million readers monthly, the magazine’s profiles of cities, states and regions have the potential to reach the niche audiences that shape the spatial practices of firms and influence individual decisions on tourism expenditures. This paper explores how Sky promotes places in the text of these profiles through the dual use of digital humanities tools and close reading-based interpretation to address the following questions. First, we ask how is the South represented in the Sky profiles? Second, what themes are present in the profile texts, given that all places seek to address both unique elements while addressing common themes of importance to business? We find that place promotion practitioners use very similar themes that have been identified in the literature since the 1980s, primarily accessibility. Efforts to attract the creative class are also present in the Sky profiles. The South poses unique challenges to place marketers, and our findings show a convergence in how profiles tackle the concept of southern culture and identity as it is leveraged in many of the profiles. © 2019, University of North Carolina Press. All rights reserved.",Economic Development,Place Branding,Place Promotion,South,Text Analysis,,,,Purcell D.,Moore C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategies and recommendations for the management of uncertainty in research tools and environments for digital history,4,10.3390/informatics6030036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074374974&doi=10.3390%2finformatics6030036&partnerID=40&md5=83db5a89a7a4ae0829eeff96bc95b455,"This paper takes a high-level view of both the sources and status of uncertainty in historical research and the manners in which possible negative effects of this omnipresent characteristic might be managed and mitigated. It draws upon both the experience of a number of digital projects and research into the many-faceted concept of uncertainty in data, and in particular, it explores the conflicting strategies for the management of uncertainty in historical research processes that are reflected in the historiographical and digital humanities literature. Its intention is to support a dialogue between the humanities and computer science, able to realise the promise of digital humanities without a reversion to a new positivism in disciplines such as history and literary studies and it therefore concludes with recommendations for the developers of research tools and environments for digital history. © 2019 MDPI Multidisciplinary Digital Publishing Institute. All rights reserved.",Arts and humanities research,Digital humanities,Research processes,Uncertainty,,,,,Edmond J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towards a taxonomy of uncertainties: Analysing sources of spatio-temporal uncertainty on the example of non-standard German corpora,9,10.3390/informatics6030034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074329599&doi=10.3390%2finformatics6030034&partnerID=40&md5=a6e9135c4260c115d4d6ca674d7dd687,"Different types of uncertainties occur in almost all datasets and are an inherent property of data across different academic disciplines, including digital humanities (DH). In this paper, we address, demonstrate and analyse spatio-temporal uncertainties in a non-standard German legacy dataset in a DH context. Although the data collection is primarily a linguistic resource, it contains a wealth of additional, comprehensive information, such as location and temporal detail. The addressed uncertainties have manifested because of a variety of reasons, and partly also because of decades of data transformation processes. We here propose our own taxonomy for capturing and classifying the various uncertainties, and show with numerous examples how the remedying but also re-introduction of uncertainties affects DH practices. © 2019 MDPI Multidisciplinary Digital Publishing Institute. All rights reserved.",Digital humanities,Indigenous languages,Lexical data uncertainty,Spatial uncertainty,Temporal uncertainty,Uncertainty,,,Souza R.R.,Dorn A.,Piringer B.,Wandl-Vogt E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Network analysis for the digital humanities: Principles, problems, extensions",8,10.1086/705532,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072049177&doi=10.1086%2f705532&partnerID=40&md5=b3cf4ef59f4bfd5c38e43867088ed1f8,"Traditional historical scholarship struggles to keep up with the rapid pace of modern scientific publication trends. Even focusing on a particular scientific field, the rate of new publications far outpaces even the most studious historian’s research capacity. This essay summarizes an approach to this problem that uses computational techniques of network analysis. As a complement to close analysis of particular documents, network analysis can give a large-scale perspective on the history of science, identifying relational patterns across a vast number of documents that might otherwise require an entire career to digest. To demonstrate the power of the approach, the essay applies network theory to a corpus of publications in evolutionary medicine. Four distinct networks, including those focused on authors, keywords, and citations, quickly unearth a range of relevant historical information. The essay illustrates how interpretable historical conclusions are drawn from a variety of quantitative metrics. The aim is to provide an overview of network techniques for historians looking to add robust network analysis to their research repertoire. © 2019 by The History of Science Society.",,,,,,,,,Painter D.T.,Daniels B.C.,Jost J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The history of science and the science of history: Computational methods, algorithms, and the future of the field",4,10.1086/705543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072037600&doi=10.1086%2f705543&partnerID=40&md5=d16b66974191c86f07ef15eae383157c,"Many researchers insist that computational methods will transform the historical profession, while an equally large number reject these claims as unwarranted hype. This study attempts to place the debate in historical and social context. The essay is divided into three parts. The first part offers a brief review of computational history. It asks whether the “computational turn” bears any resemblance to quantitative history and how it fits within the digital humanities. The second part describes the authors’ recent attempts to apply computational methods to an existing project in the history of science using a standardized workflow. It demonstrates that each step of the workflow adds another layer of subjectivity. The third part reflects on what computational methods mean for the historical profession. It systematically reviews the positive aspects of computational history (open access, interdisciplinary collaboration, and new perspectives) as well as the negative aspects (inequality, fragility, and the threat of automation) and offers prescriptions based on the authors’ experiences. © 2019 by The History of Science Society.",,,,,,,,,Gibson A.,Ermus C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond the Migrant “Problem”: Visualizing Global Migration,13,10.1177/1527476419857679,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068624988&doi=10.1177%2f1527476419857679&partnerID=40&md5=f42d35e094ab382642c8d9b017f35a38,"An area that has received comparatively little attention, in both postcolonial digital humanities and its overlap with studies of media and migration, is how geo-spatial data visualizations contribute to the othering of the migrant and how they can be used, in turn, to challenge the instantiation of the migrant as a “problem.” Positioning data visualizations of migration as a narrative genre, this article considers how data visualizations of migration reinforce the trope of migrant-as-problem and how they might resist this inscription. Through multimodal rhetorical analysis of data visualizations of migration, I examine the interplay of written-linguistic, visual, and spatial modes of communication deployed in two approaches to visualizing migration and propose that the contexts of collaboration behind their composition influence their representation of the migrant as a “problem” and hold the power to resist this narrative. © The Author(s) 2019.",composition,data visualization,digital humanities,digital rhetoric,mapping,migration,,,Risam R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‘So near while apart’: Correspondence Editions as Critical Library Pedagogy and Digital Humanities Methodology,3,10.1016/j.acalib.2019.05.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066483978&doi=10.1016%2fj.acalib.2019.05.001&partnerID=40&md5=a7d3acd70cb113d8b51906225b0de58a,"The following case study describes two library-led text encoding projects involving correspondence collections. The first, a documentary edition of personal papers held by Peter Still, a former slave, was conceived as an independent research project involving the participation of two undergraduate research assistants; the second, based upon letters to and from the Rutgers College War Service Bureau (1917–1919), has been designed as a two-week text encoding unit in a proposed undergraduate course on data and culture. These two projects, both featuring the letter as their object of study, are compared and contrasted as models of data and process, affording reflections on the overlapping concerns of the library instruction and digital humanities communities of practice. I propose viewing text encoding projects, particularly those that focus on lesser known creators or on life documents such as letters, as a means of accessing both critical library pedagogy and digital humanities methodology. By developing such projects, librarians address a number of collection and instruction related objectives of the library, while offering a valuable introduction to a set of methods that are of increasing importance to undergraduate education. Furthermore, these projects may be conducted at smaller scales, by reusing and adapting methods and software shared by the digital humanities community, thereby limiting reliance on institutional partners for technology and infrastructure support, which may not be forthcoming in under-resourced institutional contexts. © 2019 Elsevier Inc.",Correspondence,Digital editions,Digital humanities pedagogy,Information literacy,Text Encoding Initiative (TEI),Undergraduate education,,,Giannetti F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metainformation scenarios in Digital Humanities: Characterization and conceptual modelling strategies,5,10.1016/j.is.2019.04.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065075624&doi=10.1016%2fj.is.2019.04.009&partnerID=40&md5=f4ae10ff7ad270b95b1024d161f0f3ad,"Requirements for the analysis, interpretation and reuse of information are becoming more and more ambitious as we generate larger and more complex datasets. This is leading to the development and widespread use of information about information, often called metainformation (or metadata) in most disciplines. The Digital Humanities are not an exception. We often assume that metainformation helps us in documenting information for future reference by recording who has created it, when and how, among other aspects. We also assume that recording metainformation will facilitate the tasks of interpreting information at later stages. However, some works have identified some issues with existing metadata approaches, related to 1) the proliferation of too many “standards” and difficulties to choose between them; 2) the generalized assumption that metadata and data (or metainformation and information) are essentially different, and the subsequent development of separate sets of languages and tools for each (introducing redundant models); and 3) the combination of conceptual and implementation concerns within most approaches, violating basic engineering principles of modularity and separation of concerns. Some of these problems are especially relevant in Digital Humanities. In addition, we argue here that the lack of characterization of the scenarios in which metainformation plays a relevant role in humanistic projects often results in metainformation being recorded and managed without a specific purpose in mind. In turn, this hinders the process of decision making on issues such as what metainformation must be recorded in a specific project, and how it must be conceptualized, stored and managed. This paper presents a review of the most used metadata approaches in Digital Humanities and, taking a conceptual modelling perspective, analyses their major issues as outlined above. It also describes what the most common scenarios for the use of metainformation in Digital Humanities are, presenting a characterization that can assist in the setting of goals for metainformation recording and management in each case. Based on these two aspects, a new approach is proposed for the conceptualization, recording and management of metainformation in the Digital Humanities, using the ConML conceptual modelling language, and adopting the overall view that metainformation is not essentially different to information. The proposal is validated in Digital Humanities scenarios through case studies employing real-world datasets. © 2019 Elsevier Ltd",Conceptual modelling,ConML,Digital Humanities,Metadata,Metainformation,,,,Martin-Rodilla P.,Gonzalez-Perez C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The material culture of burial and its microgeography: A Luxembourg cemetery as a methodological example of an object-centred approach to quantitative material culture studies,1,10.1177/1359183519840744,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064248315&doi=10.1177%2f1359183519840744&partnerID=40&md5=654c9d89f8a2af6df89d41813e8f00c8,"This article uses a novel quantitative methodology to examine sepulchral material culture. Drawing on the theoretical frameworks of social spatialization and art as agency, the authors contend that variations in grave designs and materiality cannot simply be explained in terms of changes in fashion and mentality. Other factors also need to be taken into account. Using a digital data collection tool, the Cemetery Surveyor Application (CSA) developed at the University of Luxembourg, they compile a set of data encompassing all the material aspects of each grave in a cemetery in Luxembourg (Western Europe), the setting of their case study. The graves are dated from the 1850s to 2015. |The authors compare the chronological evolution of the most recurrent material features with a GIS-based spatial analysis of the same features. The results of the spatial analysis not only largely confirm the chronological study, but also allow them to be more precise (dating is often problematic) and include undated graves (a third of the sample). The digital data collection tool also allows them to compare cemeteries and to highlight variations in these that cannot merely be imputed to chronology, but also to spatial proximity and material agency. © The Author(s) 2019.",agency,cemetery,digital humanities,neighbouring effects,,,,,Streb C.K.,Kolnberger T.,Kmec S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The State of the Art in Multilayer Network Visualization,40,10.1111/cgf.13610,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063638574&doi=10.1111%2fcgf.13610&partnerID=40&md5=60b58a4dbf10b34294eb785da3e4298c,"Modelling relationship between entities in real-world systems with a simple graph is a standard approach. However, reality is better embraced as several interdependent subsystems (or layers). Recently, the concept of a multilayer network model has emerged from the field of complex systems. This model can be applied to a wide range of real-world data sets. Examples of multilayer networks can be found in the domains of life sciences, sociology, digital humanities and more. Within the domain of graph visualization, there are many systems which visualize data sets having many characteristics of multilayer graphs. This report provides a state of the art and a structured analysis of contemporary multilayer network visualization, not only for researchers in visualization, but also for those who aim to visualize multilayer networks in the domain of complex systems, as well as those developing systems across application domains. We have explored the visualization literature to survey visualization techniques suitable for multilayer graph visualization, as well as tools, tasks and analytic techniques from within application domains. This report also identifies the outstanding challenges for multilayer graph visualization and suggests future research directions for addressing them. © 2019 The Authors. Computer Graphics Forum published by Eurographics - The European Association for Computer Graphics and John Wiley & Sons Ltd",literature survey,multilayer networks,network visualization,• Human-centered computing → Graph drawings,Information visualization,Visualization systems and tools,,,McGee F.,Ghoniem M.,Melançon G.,Otjacques B.,Pinaud B.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shifting epistemologies for discipline and rigor in educational research: Challenges and opportunities from digital humanities,1,10.1177/1474904118820433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061611624&doi=10.1177%2f1474904118820433&partnerID=40&md5=ff7810b36f10c7098859bcb486a50d03,"This article historicizes “rigor,” discipline,” and “systematic” as inventions of a certain rational spirit of Enlightenment that was radicalized during the 19th century. These terms acquired temporary value in a transition during the 19th century when a culture of research was established within a modern episteme. Beginning in the 20th century, this development was perceived as problematic, triggering criticism from philosophy and the arts, and even within the sciences. “Discipline,” “rigor,” and “systematic” have changed meanings over time, and recent contributions from digital humanities are promising for a renewed critical debate about rigor in research. Both digital humanities and quantitative research deal with big data sets aimed at providing a large-scale analysis. However, unlike most quantitative research, digital humanities explore uncertainties as their main focus. Attention to the human-machine collaboration has led to more expansive thinking in scientific research. Digital humanities go further by advancing a metaperspective that deals with the material hermeneutics of data accumulation itself. © The Author(s) 2019.",Digital humanities,new materialisms,research evaluation,rigor,validity,,,,Priem K.,Fendler L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Understanding the cultural concerns of libraries based on automatic image analysis,1,10.1108/EL-11-2018-0229,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069909521&doi=10.1108%2fEL-11-2018-0229&partnerID=40&md5=2d8ea17ff10d9a44d2e3b494019f5214,"Purpose: Photographs are a kind of cultural heritage and very useful for cultural and historical studies. However, traditional or manual research methods are costly and cannot be applied on a large scale. This paper aims to present an exploratory study for understanding the cultural concerns of libraries based on the automatic analysis of large-scale image collections. Design/methodology/approach: In this work, an image dataset including 85,023 images preserved and shared by 28 libraries is collected from the Flickr Commons project. Then, a method is proposed for representing the culture with a distribution of visual semantic concepts using a state-of-the-art deep learning technique and measuring the cultural concerns of image collections using two metrics. Case studies on this dataset demonstrated the great potential and promise of the method for understanding large-scale image collections from the perspective of cultural concerns. Findings: The proposed method has the ability to discover important cultural units from large-scale image collections. The proposed two metrics are able to quantify the cultural concerns of libraries from different perspectives. Originality/value: To the best of the authors’ knowledge, this is the first automatic analysis of images for the purpose of understanding cultural concerns of libraries. The significance of this study mainly consists in the proposed method of understanding the cultural concerns of libraries based on the automatic analysis of the visual semantic concepts in image collections. Moreover, this paper has examined the cultural concerns (e.g. important cultural units, cultural focus, trends and volatility of cultural concerns) of 28 libraries. © 2019, Emerald Publishing Limited.",Cultural concerns,Digital humanities,Image mining,Photograph-based culture understanding,Visual semantic concepts,,,,Ding H.,Lu W.,Jiang T.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towards an uncertainty-aware visualization in the digital humanities,5,10.3390/informatics6030031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074371107&doi=10.3390%2finformatics6030031&partnerID=40&md5=2eac7d4851bacaf86006583b4fa3667c,"As visualization becomes widespread in a broad range of cross-disciplinary academic domains, such as the digital humanities (DH), critical voices have been raised on the perils of neglecting the uncertain character of data in the visualization design process. Visualizations that, purposely or not, obscure or remove uncertainty in its different forms from the scholars' vision may negatively affect the manner in which humanities scholars regard computational methods as useful tools in their daily work. In this paper, we address the issue of uncertainty representation in the context of the humanities from a theoretical perspective, in an attempt to provide the foundations of a framework that allows for the construction of ecological interface designs which are able to expose the computational power of the algorithms at play while, at the same time, respecting the particularities and needs of humanistic research. To this end, we review past uncertainty taxonomies in other domains typically related to the humanities and visualization, such as cartography and GIScience. From this review, we select an uncertainty taxonomy related to the humanities that we link to recent research in visualization for the DH. Finally, we bring a novel analytics method developed by other authors (Progressive Visual Analytics) into question, which we argue can be a good candidate to resolve the aforementioned difficulties in DH practice. © 2019 MDPI Multidisciplinary Digital Publishing Institute. All rights reserved.",Digital humanities,Progressive visual analytics,Uncertainty taxonomies,,,,,,Sánchez R.T.,Santos A.B.,Vicente R.S.,Gómez A.L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Digital humanities e biblioteche,Digital humanities and libraries",1,10.2426/aibstudi-11862,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088938608&doi=10.2426%2faibstudi-11862&partnerID=40&md5=e5914147f3c42c9d2443bfef6b509eb0,"The beginnings of Digital humanities are complex to delineate but in any case connected with the use of existing libraries (in the Middle Ages or in the 19th century) or with the creation of new libraries at the end of the last century, in the projects of the Index Thomisticus, of Computer assisted tools for Septuagint studies, of the Thesaurus linguae Graecae. The basic methodological imprint, through this multi-temporal and multi-center start, is the study of the texts around which very different disciplines even apparently (or really) distant get in touch with each other. In the international context, this imprint is questioned as it would be exclusionary with respect to a variety of subjects whose horizon ranges from cultural studies, to media studies, to the geopolitical inclusion of the South of the world. The Italian situation, also through AIUCD, the Association of informatica umanistica and digital culture, is characterized instead by the ability to recognize in constantly renewed forms the vital capacity of text and textuality to constitute the connective of a variety of contents and contexts. © 2019 Associazione Italiana Biblioteche. All rights reserved.",,,,,,,,,Lana M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mapping the backbone of the Humanities through the eyes of Wikipedia,6,10.1016/j.joi.2019.07.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069787500&doi=10.1016%2fj.joi.2019.07.002&partnerID=40&md5=9c1ca9218cb1997951fdaff0663cea3c,"The present study aims to establish a valid method by which to apply the co-citation methodology to Wikipedia article references and, subsequently, to map these relationships between scientific papers. This method, originally applied to scientific literature, will be transferred to the digital environment of collective knowledge generation. To this end, a dataset containing Wikipedia references collected from Altmetric and Scopus' Journal Metrics journals has been used. The articles have been categorized according to the disciplines and specialties established in the All Science Journal Classification (ASJC). They have also been grouped by journal of publication. A set of articles in the Humanities, comprising 25555 Wikipedia articles with 41655 references to 32245 resources, has been selected. Finally, a descriptive statistical study has been conducted and co-citations have been mapped using networks of degree centrality and intermediation. © 2019 Elsevier Ltd.",Co-citation analysis,Digital humanities,Network analysis,Scientific journals,Scopus,Wikipedia,,,Torres-Salinas D.,Romero-Frías E.,Arroyo-Machado W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhibiting uncertainty: Visualizing data quality indicators for cultural collections,13,10.3390/informatics6030029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074337029&doi=10.3390%2finformatics6030029&partnerID=40&md5=6ca2ed7a86ac3328bc600bce23b04c12,"Uncertainty is a standard condition under which large parts of art-historical and curatorial knowledge creation and communication are operating. In contrast to standard levels of data quality in non-historical research domains, historical object and knowledge collections contain substantial amounts of uncertain, ambiguous, contested, or plainly missing data. Visualization approaches and interfaces to cultural collections have started to represent data quality and uncertainty metrics, yet all existing work is limited to representations for isolated metadata dimensions only. With this article, we advocate for a more systematic, synoptic and self-conscious approach to uncertainty visualization for cultural collections. We introduce omnipresent types of data uncertainty and discuss reasons for their frequent omission by interfaces for galleries, libraries, archives and museums. On this basis we argue for a coordinated counter strategy for uncertainty visualization in this field, which will also raise the efforts going into complex interface design and conceptualization. Building on the PolyCube framework for collection visualization, we showcase how multiple uncertainty representation techniques can be assessed and coordinated in a multi-perspective environment. As for an outlook, we reflect on both the strengths and limitations of making the actual wealth of data quality questions transparent with regard to different target and user groups. © 2019 MDPI Multidisciplinary Digital Publishing Institute. All rights reserved.",Cognition support,Cultural collections,Data quality,Digital humanities,Graphs,Maps,Sets,Time-oriented data,Windhager F.,Salisu S.,Mayr E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentiment Analysis for Words and Fiction Characters From the Perspective of Computational (Neuro-)Poetics,11,10.3389/frobt.2019.00053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083094217&doi=10.3389%2ffrobt.2019.00053&partnerID=40&md5=28f85fcce634dd61ce8f65666f5a9e34,"Two computational studies provide different sentiment analyses for text segments (e.g., “fearful” passages) and figures (e.g., “Voldemort”) from the Harry Potter books (Rowling, 1997, 1998, 1999, 2000, 2003, 2005, 2007) based on a novel simple tool called SentiArt. The tool uses vector space models together with theory-guided, empirically validated label lists to compute the valence of each word in a text by locating its position in a 2d emotion potential space spanned by the words of the vector space model. After testing the tool's accuracy with empirical data from a neurocognitive poetics study, it was applied to compute emotional figure and personality profiles (inspired by the so-called “big five” personality theory) for main characters from the book series. The results of comparative analyses using different machine-learning classifiers (e.g., AdaBoost, Neural Net) show that SentiArt performs very well in predicting the emotion potential of text passages. It also produces plausible predictions regarding the emotional and personality profile of fiction characters which are correctly identified on the basis of eight character features, and it achieves a good cross-validation accuracy in classifying 100 figures into “good” vs. “bad” ones. The results are discussed with regard to potential applications of SentiArt in digital literary, applied reading and neurocognitive poetics studies such as the quantification of the hybrid hero potential of figures. © Copyright © 2019 Jacobs.",computational poetics,digital humanities,emotional figure profile,hybrid hero potential,literary reading,machine learning,neuroaesthetics,sentiment analysis,Jacobs A.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinolab: A Digital Humanities Project for the Analysis of Film Language,0,10.1080/01614622.2019.1717755,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083108261&doi=10.1080%2f01614622.2019.1717755&partnerID=40&md5=f89ae7d4faca50180a0212910db9d31e,"This article describes Kinolab, a platform for the digital analysis of narrative film language. While the work of literary scholars has benefitted from the application of computational methodologies to text analysis for decades, researchers who work with moving images have faced technological and legal obstacles that hinder their ability to analyze large corpora of film and other media. Recent modifications to U.S. copyright law and technological advances in the annotation of moving images have created new opportunities to harness Digital Humanities methodologies for film and media research. Kinolab, which originated as a digital clip archive for Italian films and series set in Rome, has taken advantage of these advances to expand its collection beyond Italian film and media with the goal of building a platform for the analysis of film language that is broadly representative of diverse historical periods, cultures, and genres, thereby enabling researchers to gain a better understanding of how formal elements of narrative media relate over time and across geographical boundaries. © 2020, © 2020 American Association for Italian Studies.",AVinDH,cinema studies,Digital Humanities,film language,film studies,Italian,media studies,,Cooper A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
